status,model_type,base_model_raw,base_model_group,new_version_count,new_model_count
grouped,Checkpoint,SD 1.5,SD 1.5,7081,2820
grouped,Checkpoint,Illustrious,Illustrious,4982,1932
grouped,Checkpoint,SDXL 1.0,SDXL,3335,1295
grouped,Checkpoint,Pony,Pony,2281,899
grouped,Checkpoint,Flux.1 D,Flux,1113,383
grouped,Checkpoint,Anima,Anima,994,369
grouped,Checkpoint,NoobAI,NoobAI,673,235
ungrouped,Checkpoint,Krea 2,,479,124
grouped,Checkpoint,ZImageTurbo,Z-Image,384,106
grouped,Checkpoint,SDXL Lightning,Legacy,242,73
grouped,Checkpoint,Other,Legacy,224,72
grouped,Checkpoint,Flux.1 S,Flux,217,58
grouped,Checkpoint,Qwen,Qwen,185,51
grouped,Checkpoint,ZImageBase,Z-Image,117,29
grouped,Checkpoint,SD 1.5 LCM,Legacy,86,37
grouped,Checkpoint,Flux.2 Klein 9B,FLUX2 Klein 9B,85,21
grouped,Checkpoint,HiDream,Hi-Dream O1,68,14
ungrouped,Checkpoint,PixArt E,,68,16
grouped,Checkpoint,SDXL Hyper,Legacy,65,21
grouped,Checkpoint,LTXV 2.3,LTXV2.3,64,16
grouped,Checkpoint,Wan Video 2.2 I2V-A14B,Wanvideo2.2,60,14
ungrouped,Checkpoint,Stable Cascade,,52,16
grouped,Checkpoint,Chroma,Legacy,49,15
grouped,Checkpoint,Ernie,Ernie,43,16
grouped,Checkpoint,Hunyuan Video,Legacy,40,12
grouped,Checkpoint,SDXL 1.0 LCM,Legacy,38,15
ungrouped,Checkpoint,MiniMax H3,,36,14
grouped,Checkpoint,Flux.2 D,Legacy,33,8
grouped,Checkpoint,Flux.2 Klein 4B,Legacy,33,8
grouped,Checkpoint,Flux.1 Krea,Flux,29,22
ungrouped,Checkpoint,LTXV,,29,3
ungrouped,Checkpoint,SD 2.1 768,,28,11
ungrouped,Checkpoint,Flux.1 Kontext,,25,10
grouped,Checkpoint,Wan Video 14B t2v,Legacy,24,12
grouped,Checkpoint,Flux.2 Klein 4B-base,Legacy,23,4
grouped,Checkpoint,Wan Video 2.2 T2V-A14B,Wanvideo2.2,21,3
grouped,Checkpoint,Kolors,Legacy,19,10
ungrouped,Checkpoint,Lumina,,19,10
ungrouped,Checkpoint,SD 1.5 Hyper,,16,10
ungrouped,Checkpoint,SD 2.1,,16,12
ungrouped,Checkpoint,Wan Video 14B i2v 720p,,16,4
ungrouped,Checkpoint,Wan Video,,14,5
ungrouped,Checkpoint,Wan Video 14B i2v 480p,,13,3
ungrouped,Checkpoint,Boogu,,12,7
grouped,Checkpoint,Flux.2 Klein 9B-base,FLUX2 Klein 9B,12,9
grouped,Checkpoint,HiDream-O1,Hi-Dream O1,11,2
ungrouped,Checkpoint,LTXV 2.5,,11,5
ungrouped,Checkpoint,Playground v2,,10,6
grouped,Checkpoint,ACE Audio,Legacy,9,4
grouped,Checkpoint,Wan Video 1.3B t2v,Legacy,9,2
grouped,Checkpoint,LTXV2,Legacy,8,2
ungrouped,Checkpoint,AuraFlow,,7,3
ungrouped,Checkpoint,Hunyuan 1,,7,7
ungrouped,Checkpoint,MageFlow,,7,2
ungrouped,Checkpoint,SD 2.0 768,,7,3
grouped,Checkpoint,Wan Video 2.2 TI2V-5B,Wanvideo2.2,6,2
ungrouped,Checkpoint,Mochi,,5,1
ungrouped,Checkpoint,Kling,,4,1
ungrouped,Checkpoint,SD 1.4,,4,1
ungrouped,Checkpoint,SD 2.0,,4,1
ungrouped,Checkpoint,SDXL Distilled,,4,4
ungrouped,Checkpoint,Seedream,,4,1
ungrouped,Checkpoint,Veo 3,,4,1
ungrouped,Checkpoint,Ideogram 4.0,,3,2
ungrouped,Checkpoint,Nano Banana,,3,1
ungrouped,Checkpoint,OpenAI,,3,2
ungrouped,Checkpoint,PixArt a,,3,3
grouped,Checkpoint,SDXL 0.9,SDXL,3,1
ungrouped,Checkpoint,Lens,,2,1
grouped,Checkpoint,Pony V7,Legacy,2,2
ungrouped,Checkpoint,Seedance,,2,1
ungrouped,Checkpoint,Vidu Q1,,2,1
ungrouped,Checkpoint,CogVideoX,,1,1
ungrouped,Checkpoint,Grok,,1,1
ungrouped,Checkpoint,Imagen4,,1,1
ungrouped,Checkpoint,MiniMax Music 3,,1,1
ungrouped,Checkpoint,ODOR,,1,1
grouped,Checkpoint,Qwen 2,Qwen,1,1
ungrouped,Checkpoint,Sora 2,,1,1
ungrouped,Checkpoint,Wan Image 2.7,,1,1
ungrouped,Checkpoint,Wan Video 2.5 I2V,,1,0
ungrouped,Checkpoint,Wan Video 2.5 T2V,,1,1
ungrouped,Checkpoint,Wan Video 2.7,,1,1
ungrouped,Checkpoint,YuE2,,1,1
grouped,Checkpoint,,Legacy,0,42
