period,model_type,base_model_group,new_version_count,new_model_count,active_total_last
2026-W21,Checkpoint,Anima,88,23,
2026-W21,Checkpoint,Ernie,9,3,
2026-W21,Checkpoint,FLUX2 Klein 9B,10,2,
2026-W21,Checkpoint,Flux,7,1,
2026-W21,Checkpoint,Hi-Dream O1,2,1,
2026-W21,Checkpoint,Illustrious,232,41,
2026-W21,Checkpoint,Legacy,11,2,
2026-W21,Checkpoint,NoobAI,8,4,
2026-W21,Checkpoint,Pony,56,2,
2026-W21,Checkpoint,Qwen,1,1,
2026-W21,Checkpoint,SD 1.5,20,0,
2026-W21,Checkpoint,SDXL,36,11,
2026-W21,Checkpoint,Wanvideo2.2,1,1,
2026-W21,Checkpoint,Z-Image,30,8,
2026-W21,LORA,Anima,623,443,
2026-W21,LORA,Ernie,14,9,
2026-W21,LORA,FLUX2 Klein 9B,103,55,
2026-W21,LORA,Flux,129,51,
2026-W21,LORA,Hi-Dream O1,2,1,
2026-W21,LORA,Illustrious,1617,1100,
2026-W21,LORA,LTXV2.3,14,6,
2026-W21,LORA,Legacy,53,18,
2026-W21,LORA,NoobAI,70,46,
2026-W21,LORA,Pony,172,65,
2026-W21,LORA,Qwen,18,5,
2026-W21,LORA,SD 1.5,67,33,
2026-W21,LORA,SDXL,137,64,
2026-W21,LORA,Wanvideo2.2,6,0,
2026-W21,LORA,Z-Image,211,106,
